internalId,uuid,DE,EN
20273,,Blähungen 1,Abdominal Bloating
22824,,Unruhe 2,Agitation
21531,,Knorpel Erweichung 2,Cartilage Softning
20587,,Erbrechen Zentrum 1,Centre of Vomiting
20401,,Cholangitis 2,Cholangitis
22631,,Erkältung 2,Cold
21052,,Colitis 1,Colitis
20184,,Bindegewebe-Frequenzsteuerung 2,Connective Tissue-Control Frequencies
21873,,Diabetes 2,Diabetes Mellitus
22798,,Epilepsie 2,Epilepsy
20307,,Blähungen 2,Flatulence
20770,,Mandelentzündung 2,Follicular tonsillitis
22857,,Lungenentzündung allgemein 5,General Pneumonia V
21648,,Regulierung des Magen-Darm-Trakt 1,GI Tract Regulation
20329,,Darm-Geschwür 2,Gut Ulcer
20457,,Kopfschmerzen mit Darmfunktionsstörung 1,Headache and Intestinal Dysfunction
20778,,Gehörzentrum 4,Hearing Centre
20174,,Herz Venen 1,"Heart, Veins"
20172,,Herz Kreislauf 1,Heart-Blood Circulation
20173,,Herz Kreislauf 2,Heart-Blood Supply
20295,,Darm-Geschwür 1,Intestine-Ulcer
22357,,Gelenkschmerzen 2,Joint Pain
21336,,Nierenzyste 1,Kidney Cyst
21382,,Nieren Frequenzsteuerung 1,Kidneys-Control Frequencies
21383,,Nieren Frequenzsteuerung 2,Kidneys-Control Frequencies
21219,,Appetitlosigkeit 2,Lack of Appetite
20230,,Unterkiefer 2,Low Jaw
21008,,Lymphen 1,Lymph
20966,,Stoffwechsel 1,Metabolism
20856,,Nervenzentrum 1,Nerve Centre
20319,,Erkrankungen der Bauchspeicheldrüse 2,Pancreas Diseases
20309,,Erkrankungen der Bauchspeicheldrüse 1,Pancreatic Disorders
22188,,Parasiten umfassendes Programm 1,Parasites-Basic Comprehensive Programme
22190,,Parasiten umfassendes Programm 2,Parasites-Comprehensive
22434,,Magengeschwür 2,Peptic Ulcer
21236,,Hustenreflex 2,Reflex Cough
21157,,Blutung aus den Atemwegen 1,Respiratory Tract Bleeding
21158,,Entzündung der Atemwege 1,Respiratory Tract Inflammation
21159,,Entzündung der Atemwege 2,Respiratory Tract Inflammation
21826,,Netzthaut Erholung 2,Retina Recovery
20183,,Speicheldrüsen 1,Salivary Glands
30104,,7 Chakra Frequenzen,Seven Chakras
21658,,Krampflösende Wirkung 1,Spasmolytic
20705,,Mandelentzündung 1,Tonsillitis
20763,,Mandelentzündung 1,Tonsillitis
20706,,Mandelentzündung 2,Tonsillitis
21066,,Colitis Ulcerosa 2,Ulcerative Colitis
21327,,Oberkiefer 2,Upper Jaw
21405,,Krampfadern 1,Varicosis
